Feature1;Feature2;Feature3;Feature4;Feature5;Feature6;Feature7;Feature8;Feature9;Feature10;Feature11;Pensioner
0;0;0;0;0;0;1;0;0;0;0;0
40;185;2;53;0;2;3;48;1;1;0;0
1;2;0;4;0;0;1;0;0;1;0;0
11;15;3;97;0;0;1;2;1;1;0;1
0;1;0;1;6;3;125;47;6;0;1;0
73;1;3;125;1;0;1;18;1;0;1;1
3;15;0;0;0;0;1;3;1;0;1;0
19;194;9;93;0;4;1;10;1;1;0;0
1;2;0;0;0;0;0;0;0;1;0;0
54;708;105;65;0;2;1;35;1;0;0;0
6;21;104;7;0;0;0;1;1;1;0;0
0;0;0;0;0;0;0;0;0;1;0;1
1;2;1;1;0;0;1;5;2;1;0;0
29;40;27;59;3;3;9;52;1;0;0;0
3;50;0;5;0;1;2;2;1;0;1;0
7;94;3;8;0;0;13;10;1;1;0;0
9;85;0;23;0;0;4;4;1;1;0;0
39;133;4;37;0;3;2;13;1;1;0;0
2;3;0;11;1;1;4;100;1;1;0;0
4;48;3;2;0;0;1;7;0;0;0;0
7;315;0;30;7;0;3;6;3;0;1;0
6;241;42;7;2;0;53;16;2;1;0;0
4;203;55;4;0;0;1;6;1;1;0;0
36;456;148;67;0;4;4;7;1;0;1;0
7;34;19;14;1;0;2;12;2;1;0;0
14;622;165;44;0;2;3;34;3;1;0;0
0;0;0;0;3;0;41;2;1;0;1;0
0;3;0;1;0;0;1;0;0;1;0;0
5;51;4;10;1;1;6;7;1;1;0;0
15;105;12;34;1;0;1;9;1;1;0;0
5;88;2;27;0;2;2;3;1;0;1;0
24;355;385;70;6;1;2;26;1;1;0;0
0;0;0;2;0;0;1;0;0;1;0;1
0;2;0;0;0;0;1;0;0;1;0;0
10;142;15;15;0;0;3;12;2;1;0;0
2;0;2;7;1;2;3;3;0;1;0;0
3;1;0;6;0;0;2;0;1;0;1;0
11;79;17;32;0;4;2;2;0;1;0;0
3;46;5;2;1;0;5;2;0;1;0;0
2;2;7;3;0;0;1;1;0;1;0;0
15;2;0;20;4;4;1;1;1;0;1;1
2;15;2;12;0;0;2;5;1;1;0;0
0;4;0;0;0;0;0;0;0;1;0;0
39;426;2;77;5;2;5;30;1;0;1;0
2;13;3;5;0;0;1;0;0;0;1;0
39;236;63;67;0;3;1;37;1;1;0;0
8;226;15;77;0;1;3;11;1;1;0;0
28;1;1;39;3;10;5;31;2;0;1;0
5;303;1;18;0;1;5;13;1;1;0;0
0;0;0;0;0;0;1;36;1;1;0;0
37;399;8;91;0;3;8;8;1;1;0;1
3;11;1;3;0;0;4;7;2;0;1;0
0;0;0;0;0;1;127;0;1;0;1;0
3;1;0;11;1;1;1;1;5;1;0;0
0;0;0;0;5;0;51;2;2;0;1;0
0;0;0;0;1;0;1;1;5;0;1;0
0;0;0;0;0;0;1;0;2;0;1;0
3;37;0;15;1;2;3;5;1;0;1;0
14;58;1;22;1;0;2;3;2;0;1;0
0;1;0;2;0;0;0;0;0;1;0;0
2;121;285;5;0;0;0;0;1;1;0;0
2;18;6;5;0;0;5;2;0;1;0;0
17;152;17;31;1;2;2;16;1;1;0;0
2;79;8;2;0;0;2;1;1;1;0;0
8;4;0;10;0;2;4;43;4;1;0;0
10;19;1;4;0;0;2;9;1;1;0;0
0;1;1;14;0;0;2;0;0;1;0;1
6;25;0;8;1;0;3;3;0;0;0;0
2;1;2;7;0;0;2;3;0;1;0;1
3;148;9;3;1;0;2;36;1;1;0;0
13;60;2;43;1;0;3;3;0;0;1;1
84;610;70;223;0;0;3;15;2;1;0;0
12;71;41;21;3;2;3;8;1;1;0;0
1;25;0;3;2;1;2;12;0;0;1;0
25;134;5;34;1;3;1;20;8;1;0;0
7;264;0;21;1;0;2;6;1;1;0;0
6;13;2;4;0;0;2;1;1;1;0;1
9;413;0;50;0;0;3;6;1;1;0;0
0;13;0;0;0;0;0;0;0;1;0;0
7;97;2;17;3;4;2;13;1;0;1;0
14;123;1;22;3;3;4;16;1;0;1;0
3;135;40;2;0;6;70;13;1;0;0;0
49;599;21;55;1;1;2;9;3;1;0;0
9;229;5;103;1;5;2;14;1;0;1;0
1;0;0;0;8;2;6;1;128;0;0;0
4;39;1;18;0;1;10;13;1;0;1;0
1;0;0;0;0;0;0;0;0;1;0;0
2;13;1;5;0;0;7;0;2;1;0;0
4;5;1;2;0;0;1;3;0;1;0;0
5;1;0;6;0;2;1;1;0;0;1;1
0;0;0;0;0;0;0;4;0;1;0;0
59;301;32;32;4;2;3;43;3;1;0;0
17;167;7;45;11;9;8;36;1;0;1;0
22;276;504;73;2;1;10;14;2;1;0;0
6;130;3;5;0;1;1;9;1;0;0;0
0;0;8;0;0;0;0;0;0;0;0;0
10;112;53;19;0;1;2;11;4;1;0;0
0;4;0;0;0;0;0;2;0;1;0;0
15;170;4;34;1;0;1;8;1;1;0;0
11;29;39;25;0;0;1;1;1;1;0;0
23;289;7;40;1;2;14;38;1;1;0;0
0;0;0;0;1;0;9;0;1;0;1;0
0;4;0;2;0;0;1;1;0;1;0;0
0;1;0;0;3;4;81;1;4;0;1;0
81;21;1169;149;1;1;1;9;1;1;0;0
0;1;0;0;0;0;1;0;0;1;0;1
12;256;96;30;1;0;1;11;1;1;0;0
4;42;4;12;1;0;1;4;0;1;0;0
2;23;4;4;0;0;1;2;1;1;0;0
0;1;100;4;0;0;1;1;0;1;0;0
0;2;1;2;0;1;1;2;1;0;0;0
10;48;14;18;0;0;1;3;1;0;1;1
1;15;0;6;0;1;3;4;1;1;0;0
115;55;1;27;1;4;2;2;1;0;1;1
5;52;0;11;0;2;5;8;1;1;0;0
26;202;11;64;0;2;5;18;2;1;0;1
0;0;0;0;1;0;2;5;1;0;0;0
18;1771;101;38;0;3;3;16;1;0;1;0
11;186;7;45;0;2;1;29;3;0;0;1
10;69;2;18;11;12;76;25;2;0;1;0
9;4;0;2;1;0;1;0;0;0;1;0
0;0;0;0;1;2;6;0;1;0;1;0
10;144;0;20;2;1;2;9;1;1;0;0
20;81;1;29;0;1;1;5;1;1;0;0
3;16;0;8;3;1;14;8;1;0;1;0
10;119;3;32;0;0;3;25;4;1;0;1
1;36;1;10;2;0;6;15;0;0;1;0
1;1;3;1;0;0;1;0;0;1;0;0
3;8;0;2;3;5;248;5;1;0;1;0
42;675;45;94;2;4;2;33;1;1;0;0
14;1;0;9;2;3;3;13;1;1;0;0
7;38;6;11;0;0;1;1;0;1;0;0
0;4;0;1;1;0;1;1;0;1;0;0
60;296;48;127;1;11;10;45;4;1;0;0
15;167;1;34;1;0;12;18;1;1;0;0
61;1;0;4;0;1;0;1;0;1;0;1
17;1;14;99;0;8;6;8;1;0;1;1
5;6;3;3;1;0;1;2;1;1;0;0
8;36;8;7;0;1;1;3;1;1;0;0
0;0;103;0;0;0;0;0;0;1;0;0
17;94;11;16;1;1;3;6;1;1;0;0
17;207;7;30;0;2;2;8;5;0;1;0
0;58;0;11;0;0;1;5;0;1;0;0
13;83;1;29;1;3;2;33;4;1;0;0
2;4;0;9;0;0;1;2;0;0;0;1
14;177;107;19;0;0;1;5;1;1;0;1
5;94;16;16;0;0;3;2;0;1;0;0
17;190;8;27;0;2;22;15;1;1;0;0
5;21;2;7;1;1;5;5;0;1;0;0
10;117;16;12;0;0;1;3;4;1;0;0
41;415;6;68;1;4;2;55;1;0;1;0
26;107;5;28;0;0;1;18;1;0;0;0
21;129;1;50;0;2;5;21;2;1;0;1
6;40;1;10;0;0;5;9;5;1;0;0
7;837;4;12;0;5;3;22;1;1;0;0
13;351;2;28;2;1;1;41;1;1;0;0
7;28;38;4;1;0;9;11;1;1;0;0
51;120;2;22;3;2;4;5;1;1;0;0
8;207;6;25;1;2;5;5;2;0;1;0
0;66;0;0;0;0;0;0;0;1;0;0
0;0;0;0;0;1;127;0;1;0;0;1
14;96;78;20;0;1;1;8;1;1;0;0
43;221;48;44;1;0;2;18;1;1;0;0
3;21;1;2;0;0;4;2;1;1;0;0
2;6;1;0;0;0;1;1;0;1;0;1
52;420;10;92;1;2;12;54;2;1;0;0
17;401;160;128;1;1;1;13;1;1;0;0
30;343;5;58;0;2;2;16;1;1;0;0
9;76;1;9;1;0;1;9;1;1;0;0
0;1;0;0;0;0;0;0;0;0;1;0
37;215;67;55;1;2;4;8;1;1;0;0
2;52;3;5;4;3;1;24;1;1;0;0
24;85;16;51;1;1;7;20;1;1;0;0
0;1;0;0;0;0;0;0;0;1;0;0
1;1;0;0;1;0;12;2;2;0;1;0
1;1;0;0;0;50;14;0;12;0;1;0
28;18;0;7;1;1;11;7;3;1;0;0
24;55;16;35;0;4;2;7;1;1;0;1
44;255;33;70;2;0;3;46;1;1;0;0
61;1;0;1;0;0;0;0;2;1;0;0
1;7;0;2;0;1;0;0;0;1;0;0
3;24;2;15;0;1;2;6;1;1;0;0
0;0;0;0;0;0;1;7;2;0;1;0
9;82;1;18;0;1;6;2;0;1;0;0
0;21;1;8;0;0;4;20;0;1;0;0
13;116;0;7;0;1;2;6;0;0;1;0
1;11;0;3;0;0;1;1;1;0;1;0
38;3;6;83;0;4;4;21;1;0;0;1
6;133;99;15;0;0;1;3;1;1;0;0
0;2;0;2;0;0;0;8;0;1;0;0
13;36;7;17;0;0;1;5;1;1;0;0
1;48;14;3;0;0;1;2;1;1;0;0
32;518;14;55;7;5;14;11;1;0;1;0
0;1;0;1;0;0;1;0;0;1;0;0
35;1;112;40;0;0;1;7;1;0;0;0
50;307;64;174;0;7;1;25;1;1;0;0
12;448;46;21;0;1;1;56;1;1;0;0
0;1;0;0;0;1;11;4;1;0;1;0
10;183;3;28;1;0;2;15;1;1;0;0
19;54;11;50;0;1;1;14;1;0;0;0
0;0;0;1;0;0;0;0;0;0;0;0
25;224;11;74;7;26;236;35;1;0;1;0
6;355;93;9;1;0;8;11;1;1;0;0
14;92;49;35;0;1;1;7;2;1;0;1
25;393;7;34;3;8;4;50;2;0;1;0
0;10;0;7;0;0;1;1;0;1;0;0
1;12;5;1;0;0;1;1;1;1;0;0
1;1;1;6;0;0;3;2;1;1;0;0
23;171;10;32;0;0;1;17;1;1;0;0
12;8;1;30;0;4;2;6;1;0;1;0
44;62;14;67;0;1;4;30;1;1;0;0
0;0;0;0;6;4;21;0;1;0;1;0
2;18;12;4;0;0;0;0;0;1;0;1
1;9;29;0;0;0;2;0;0;1;0;0
24;207;5;73;2;14;9;23;2;0;1;0
0;1;1;1;0;0;0;1;0;1;0;0
4;21;0;6;0;0;1;98;1;1;0;0
20;126;6;19;0;0;1;8;1;1;0;1
7;273;111;19;0;0;2;24;1;1;0;0
28;135;1;44;0;2;2;9;1;0;0;0
0;8;1;0;0;0;1;1;0;1;0;0
22;563;9;18;0;0;317;2;1;1;0;0
38;219;0;110;0;0;1;21;1;1;0;0
5;74;0;8;3;1;1;9;1;0;1;0
1;1;0;1;0;0;0;2;0;1;0;1
4;5;3;5;1;2;1;6;1;1;0;0
0;25;2;0;0;0;1;1;0;1;0;0
0;9;1;0;0;0;1;0;0;0;0;0
0;7;0;2;1;3;1;0;0;0;1;0
5;81;2;6;3;10;254;9;1;1;0;0
17;160;0;38;1;1;11;34;1;1;0;0
35;140;52;117;1;0;10;16;1;1;0;0
1;12;1;7;0;0;6;4;1;0;1;0
1;1;0;2;0;1;1;2;1;0;1;0
11;250;1;4;0;0;5;10;5;1;0;1
8;43;8;25;1;1;2;20;2;1;0;0
11;43;3;20;2;0;1;19;4;1;0;0
14;107;14;22;1;3;1;2;34;0;1;0
0;7;0;0;0;0;1;1;0;1;0;0
3;7;7;3;0;0;0;3;0;1;0;0
6;57;11;14;0;0;2;1;1;1;0;0
7;44;1;4;2;0;2;1;2;1;0;0
23;160;2;50;2;0;6;6;1;1;0;0
1;27;2;2;0;0;1;7;1;1;0;0
10;206;0;11;2;0;13;8;2;0;0;0
11;9;6;33;0;6;1;6;1;0;0;0
26;154;11;90;9;2;4;5;1;0;1;1
11;110;77;58;1;1;2;10;1;1;0;1
3;159;2;9;0;0;6;7;1;1;0;0
0;0;0;0;0;0;2;0;2;0;1;0
9;99;6;14;1;0;12;8;1;1;0;0
50;390;11;54;1;0;2;27;1;1;0;0
0;5;0;0;0;0;1;0;0;1;0;0
2;3;0;1;0;0;1;1;1;1;0;0
16;102;8;35;1;1;1;18;1;0;0;1
18;306;47;39;1;0;1;25;1;1;0;0
24;259;9;34;0;0;1;12;1;1;0;1
4;18;0;12;1;0;2;0;1;0;1;0
0;0;0;0;0;0;0;0;1;0;1;0
26;222;7;63;1;2;1;21;4;1;0;0
27;277;20;27;4;0;1;19;2;1;0;0
1;16;0;2;0;0;1;0;1;1;0;0
26;65;0;50;0;4;1;19;1;1;0;0
23;126;7;23;1;2;2;17;2;1;0;0
8;68;14;21;0;0;4;2;1;1;0;0
20;59;1;18;1;0;1;4;1;1;0;0
1;3;0;0;0;0;1;0;1;1;0;0
13;288;2;36;1;2;2;21;3;1;0;0
7;131;0;8;1;0;2;3;1;1;0;0
8;65;2;15;0;1;1;5;1;1;0;0
1;44;0;7;7;0;1;2;0;1;0;0
0;0;0;0;0;0;0;0;1;1;0;0
5;161;29;15;0;1;6;7;1;0;0;0
4;4;4;6;0;0;1;4;1;1;0;1
5;70;1;23;0;0;3;2;0;1;0;0
9;43;0;26;0;3;1;7;1;0;1;0
1;0;0;0;0;0;1;0;0;1;0;0
0;2;0;0;0;0;0;0;1;1;0;0
0;12;1;2;0;0;3;4;1;1;0;1
42;91;4;58;0;2;1;23;1;1;0;0
0;0;0;0;0;0;0;0;0;1;0;1
10;299;4;23;2;0;2;26;1;1;0;0
0;15;2;3;0;1;2;1;1;0;1;0
10;88;62;10;0;0;8;7;1;1;0;0
3;820;15;6;0;1;1;2;2;1;0;0
0;17;1;1;1;0;2;1;0;1;0;0
110;9;7;10;0;0;2;3;1;1;0;1
9;193;2;44;0;7;2;12;1;0;1;0
15;154;4;19;17;3;47;12;1;0;1;0
11;3;0;54;0;2;2;1;1;0;1;0
0;13;7;4;0;0;4;4;1;1;0;0
10;109;0;17;0;0;2;6;1;1;0;1
2;1;1;1;0;0;1;1;0;1;0;0
0;17;2;4;0;0;1;1;0;1;0;1
30;614;13;146;1;3;1;70;1;1;0;0
4;422;5;10;0;0;2;3;1;1;0;0
4;26;2;8;0;2;4;19;1;1;0;0
76;434;12;155;0;3;3;46;1;1;0;0
1;1;0;0;0;0;0;0;0;0;1;0
56;444;11;110;2;2;3;48;1;1;0;0
14;117;2;27;3;2;35;11;1;0;1;0
1;18;2;4;0;0;1;1;1;1;0;0
13;187;3;24;6;1;2;8;2;0;1;0
25;52;1;27;0;0;2;3;1;0;1;0
0;0;0;0;2;1;11;0;1;0;1;0
4;45;3;7;1;1;5;9;1;1;0;1
38;610;11;53;1;1;3;16;1;1;0;1
0;7;0;2;0;0;1;3;0;0;0;1
5;99;6;4;0;0;9;2;1;1;0;0
18;337;21;27;1;3;3;20;1;0;0;0
48;731;3;78;0;5;1;30;1;1;0;0
35;198;20;53;1;1;3;28;1;1;0;0
18;301;16;49;2;1;3;32;1;0;0;0
15;166;63;17;0;0;2;9;2;1;0;0
4;260;3;28;2;1;32;22;3;1;0;0
20;285;14;61;0;0;2;15;1;1;0;0
28;384;100;36;1;1;2;30;1;1;0;0
11;148;17;14;2;0;1;3;1;1;0;0
9;9;1;1;0;0;2;5;0;1;0;0
0;2;0;0;8;1;1;2;30;0;0;0
37;134;4;100;5;15;8;59;1;0;1;0
0;1;0;0;0;0;0;0;0;1;0;0
15;33;2;17;1;4;5;10;1;0;1;0
3;4;0;3;0;2;2;0;0;0;1;0
15;286;25;8;0;0;1;3;1;1;0;0
1;40;0;5;0;4;2;1;1;0;1;0
10;258;85;35;0;0;13;16;1;1;0;0
7;108;3;21;2;0;5;11;6;1;0;1
3;91;1;3;0;0;3;2;1;0;0;0
125;120;31;36;1;0;5;12;1;1;0;0
5;185;24;31;0;0;1;8;1;1;0;0
0;2;1;0;1;0;1;6;0;1;0;0
13;2;1;28;1;0;1;2;0;1;0;1
9;35;1;23;0;0;1;1;0;1;0;0
1;0;0;4;0;0;0;0;0;1;0;1
26;317;1;45;2;0;1;36;14;1;0;0
0;33;12;10;0;0;1;11;1;0;0;0
21;241;4;51;0;0;4;9;2;0;1;0
13;87;0;52;0;1;3;3;0;1;0;0
79;407;31;172;2;7;7;26;1;0;1;1
3;255;1;4;0;1;1;4;1;0;1;0
47;161;12;139;1;0;1;14;1;1;0;0
1;3;72;2;0;0;0;1;0;1;0;0
0;13;7;2;0;0;0;1;0;0;0;0
9;171;16;15;0;0;1;5;1;1;0;0
3;30;0;7;0;1;1;5;1;1;0;0
3;80;0;22;0;4;3;14;2;0;1;0
0;30;1;13;0;0;3;9;0;0;0;0
50;546;37;164;1;3;3;16;1;1;0;1
2;0;0;4;0;0;1;0;0;1;0;0
8;407;6;23;0;1;4;2;1;1;0;0
0;0;0;0;0;0;8;0;1;0;1;0
27;221;6;75;4;24;3;7;1;0;1;0
0;66;66;3;1;0;1;1;0;1;0;0
4;8;2;6;0;0;0;0;0;1;0;0
0;0;0;0;0;0;4;0;2;0;1;0
20;34;4;19;0;0;3;7;1;1;0;0
18;87;1;50;3;1;3;17;1;1;0;0
10;112;0;13;0;0;1;5;2;1;0;1
0;2;0;0;0;0;2;0;0;1;0;0
24;47;42;30;3;1;3;13;1;1;0;0
0;2;0;0;5;1;86;30;1;0;1;0
81;974;3;158;0;13;2;27;1;0;1;0
4;39;2;5;0;0;4;7;1;1;0;0
3;85;74;11;0;1;7;8;0;0;0;0
21;7;1;40;0;0;1;3;1;1;0;0
14;78;0;15;1;2;2;5;2;1;0;0
0;4;324;0;0;0;0;0;0;1;0;0
4;26;6;4;0;0;0;3;0;1;0;0
17;200;132;26;1;3;2;38;1;1;0;0
0;71;0;7;3;1;1;5;1;0;1;0
0;1;17;0;0;0;3;1;2;1;0;0
7;42;10;9;0;0;1;2;0;1;0;0
12;1;2;18;2;0;3;13;1;1;0;0
23;297;3;37;0;3;5;24;1;1;0;0
9;70;51;14;0;0;3;1;1;1;0;0
12;192;2;14;2;2;3;15;1;1;0;0
0;10;0;1;0;0;1;2;0;1;0;0
38;123;3;35;0;0;7;7;2;1;0;0
20;250;6;27;0;0;1;27;1;1;0;0
13;89;0;20;0;1;1;7;0;1;0;1
46;124;10;102;4;2;2;23;1;1;0;0
17;62;9;20;1;2;1;15;2;1;0;0
3;44;2;5;0;0;3;3;0;0;1;0
33;59;0;30;2;4;3;2;1;0;1;1
6;3;2;9;0;0;1;1;0;1;0;1
9;274;3;7;0;0;2;4;0;1;0;0
2;82;1;3;0;0;1;2;0;0;0;0
0;0;0;0;0;0;0;0;1;1;0;0
4;11;1;5;0;3;11;29;25;0;1;0
16;95;13;28;1;1;1;20;1;1;0;0
49;2;7;31;0;0;1;17;3;1;0;0
14;10;1;19;0;1;12;5;1;1;0;0
0;6;1;1;0;0;0;1;0;1;0;0
27;181;83;34;0;0;6;17;1;1;0;0
7;1004;1;30;5;3;10;16;1;0;1;0
19;139;20;43;0;1;15;6;1;1;0;0
5;111;2;10;0;2;4;8;1;0;1;0
1;0;0;3;0;0;0;0;0;1;0;0
2;48;2;8;2;0;1;9;0;1;0;0
10;1;2;44;0;3;1;16;3;1;0;0
16;20;37;13;0;8;86;66;1;0;0;0
4;18;297;4;0;1;2;1;1;0;1;0
5;28;5;6;0;0;2;8;1;1;0;0
3;19;216;2;0;0;2;3;1;1;0;0
1;10;1;0;0;0;1;1;1;1;0;0
14;2;7;24;0;0;2;3;1;1;0;0
1;36;0;5;1;0;1;4;7;0;1;0
1;7;186;3;0;0;1;1;1;1;0;0
36;147;1;51;3;9;2;35;2;1;0;0
17;127;2;42;0;0;2;1;1;1;0;0
3;35;37;8;1;0;1;1;0;1;0;0
15;97;2;8;0;0;5;13;2;1;0;0
0;0;0;0;0;0;0;0;0;0;1;0
8;32;127;10;2;0;7;2;4;1;0;0
2;13;1;4;0;1;1;2;1;1;0;0
0;2;0;0;0;0;1;0;0;1;0;0
4;18;6;3;0;1;2;4;1;1;0;0
4;253;32;14;0;1;3;40;2;1;0;0
0;0;1;6;0;1;1;5;0;1;0;0
14;129;56;29;1;6;1;19;1;1;0;0
0;23;1;6;0;0;1;19;0;1;0;0
3;93;45;8;0;2;7;9;0;1;0;0
0;72;4;3;0;0;2;1;2;0;1;0
12;293;1;34;1;6;22;32;1;0;1;0
0;2;2;2;0;0;0;0;0;1;0;0
12;1;21;13;0;0;1;0;0;1;0;0
9;45;32;23;1;2;7;8;2;1;0;0
9;76;10;25;1;1;1;8;1;1;0;1
0;0;0;0;0;0;0;0;0;1;0;0
5;21;16;12;0;0;0;1;0;1;0;1
32;45;1;33;0;4;3;15;0;1;0;0
5;29;3;5;0;1;1;2;0;1;0;1
11;37;0;16;1;0;4;0;0;0;1;1
12;112;1;38;5;1;2;29;1;0;1;0
0;0;0;0;0;0;1;0;0;0;0;1
1;35;2;4;0;0;2;3;1;0;0;1
2;26;5;5;0;0;4;5;1;1;0;1
1;1;0;0;0;0;0;0;1;1;0;0
16;55;6;61;0;5;1;5;6;1;0;0
5;17;11;5;0;0;1;6;1;1;0;0
1;159;24;3;1;0;6;9;2;1;0;0
2;1;3;13;0;0;6;6;0;0;1;0
7;103;9;14;1;0;11;6;1;1;0;0
13;3;0;39;2;1;4;2;0;0;1;0
13;109;25;23;0;2;4;13;1;0;0;0
20;227;2;49;2;1;5;32;1;1;0;0
23;71;19;52;7;3;4;27;1;0;1;0
3;1;0;4;0;0;0;1;1;1;0;0
2;21;1;11;0;1;2;1;1;0;0;0
0;0;1;7;0;0;1;0;0;0;1;0
4;1;3;15;1;2;5;5;1;1;0;0
4;3;1;6;1;1;1;6;1;0;1;0
0;88;0;1;0;1;2;1;1;1;0;0
2;0;0;0;0;0;0;1;1;1;0;0
93;459;35;224;1;5;4;40;2;1;0;0
3;12;1;2;0;1;4;5;1;1;0;0
6;101;0;4;0;0;0;0;1;1;0;1
0;2;1;2;0;0;1;1;1;0;1;0
3;67;4;2;0;0;1;1;0;0;1;0
4;36;1;10;0;0;2;1;5;1;0;1
27;256;15;74;4;2;1;4;1;0;1;0
4;37;230;7;0;1;1;1;1;1;0;0
33;271;5;28;2;2;14;9;2;1;0;0
9;1;0;27;0;0;1;6;0;1;0;0
4;10;0;16;0;0;4;5;2;1;0;0
2;78;5;4;0;0;1;8;1;1;0;0
8;1;2;88;0;1;3;1;0;1;0;1
5;97;2;20;0;5;11;12;1;0;1;0
4;10;1;2;0;0;1;1;0;0;1;0
1;34;8;1;0;0;1;1;3;1;0;0
2;12;0;3;0;0;1;3;0;1;0;0
18;319;3;40;1;1;4;18;1;1;0;0
2;58;15;2;0;0;11;6;2;1;0;0
1;0;0;0;0;0;1;1;0;1;0;0
0;1;0;2;3;12;90;1;27;0;1;0
2;11;2;6;0;0;3;1;1;1;0;0
1;11;0;0;0;0;0;1;0;1;0;1
3;8;0;4;0;1;2;1;0;1;0;0
0;0;0;0;0;0;0;0;0;1;0;0
42;171;41;64;1;0;5;21;1;1;0;0
16;37;45;15;1;0;2;12;1;1;0;0
3;1;0;13;1;0;2;3;1;1;0;0
1;47;1;2;0;0;2;1;0;1;0;0
15;576;73;47;0;4;5;34;3;1;0;0
1;25;0;2;1;0;28;3;1;0;1;0
12;387;48;19;1;0;9;7;1;1;0;0
4;1;0;24;2;4;2;0;1;0;0;0
75;48;0;62;1;2;2;19;1;1;0;0
0;0;1;0;1;0;10;0;2;0;1;0
0;0;0;0;0;0;2;0;6;0;1;0
0;0;0;0;0;0;1;0;0;0;1;0
4;32;1;5;1;0;1;7;1;1;0;0
2;0;2;9;0;0;3;4;0;1;0;0
6;659;2;29;0;0;10;26;1;0;0;0
5;250;2;19;1;6;2;11;1;0;1;0
0;0;0;0;16;0;18;1;1;0;1;0
11;206;1;26;0;1;1;11;1;1;0;0
6;144;2;9;3;1;1;11;1;0;1;0
3;224;71;20;0;0;2;10;2;1;0;0
8;88;556;3;0;0;2;1;1;1;0;0
0;1;0;0;1;0;6;0;4;0;1;0
1;7;207;0;0;0;1;0;1;1;0;0
0;5;0;0;0;0;1;2;1;1;0;0
5;0;1;5;0;0;4;2;0;1;0;0
1;34;0;0;0;0;1;0;0;1;0;0
36;178;13;35;1;2;4;14;1;1;0;0
16;85;26;47;4;2;1;5;1;1;0;0
6;5;20;8;0;0;1;0;0;1;0;0
20;70;1;78;0;3;1;22;1;1;0;0
0;5;0;2;1;0;1;0;0;0;1;0
1;0;3;1;0;0;0;0;0;0;0;0
12;30;2;18;0;1;3;9;1;0;1;0
6;65;3;28;0;9;7;10;1;0;1;0
10;1;0;26;1;0;1;7;1;1;0;1
0;0;0;0;0;0;0;62;0;1;0;0
13;8;27;89;0;0;1;4;2;1;0;1
0;2;0;2;11;10;98;2;2;0;1;0
14;111;16;25;0;2;3;29;1;1;0;0
0;34;4;6;1;0;1;2;0;1;0;1
8;30;0;10;0;0;1;4;1;1;0;0
6;47;73;20;0;2;6;6;1;1;0;0
12;69;167;30;3;1;1;19;1;1;0;0
5;2;0;15;2;4;1;4;1;0;1;0
3;22;5;4;1;1;2;7;0;1;0;0
111;1747;189;202;3;3;8;41;2;1;0;1
13;109;0;21;0;0;1;6;1;1;0;0
4;15;2;2;0;0;1;3;1;0;0;1
14;168;7;23;0;5;7;12;1;1;0;0
5;15;0;3;1;0;1;7;0;0;1;0
0;0;79;1;0;0;0;5;0;1;0;0
18;280;8;48;0;3;4;12;1;0;0;0
19;83;52;33;2;1;4;8;1;1;0;0
12;65;3;34;8;2;4;18;2;0;1;1
0;0;0;0;4;0;43;0;1;0;1;0
17;50;1;22;1;0;1;6;1;1;0;0
11;99;22;18;0;1;8;36;1;1;0;0
7;198;13;9;1;0;1;9;1;1;0;0
37;351;9;76;1;10;1;55;4;1;0;0
13;108;21;13;0;1;3;4;1;1;0;0
3;2;0;11;1;1;1;2;0;1;0;0
17;289;136;39;0;0;11;12;1;1;0;0
21;206;5;15;3;3;1;43;1;1;0;0
56;275;24;91;1;1;4;20;1;0;0;0
0;171;0;0;0;0;1;1;0;1;0;0
0;0;0;0;0;0;0;0;0;1;0;0
0;3;0;0;0;0;0;0;0;1;0;0
16;200;8;53;3;1;3;21;1;1;0;0
16;71;3;49;5;9;6;49;6;0;1;0
39;342;196;89;1;4;3;19;2;1;0;0
28;260;4;32;1;1;1;16;2;1;0;0
3;30;1;3;0;0;6;1;0;1;0;0
23;103;15;29;0;0;5;2;3;1;0;1
0;6;20;12;0;0;0;1;1;1;0;1
2;60;1;2;0;0;6;6;2;1;0;0
1;1;0;0;1;0;2;1;1;1;0;0
35;722;5;153;2;3;2;28;2;1;0;0
11;115;37;29;0;0;2;8;1;1;0;0
3;85;0;2;0;0;1;8;1;1;0;1
5;9;0;9;0;1;1;2;0;1;0;0
46;145;69;38;0;0;9;5;2;1;0;0
2;42;0;5;0;0;3;6;1;0;1;0
31;361;45;52;1;1;1;36;9;1;0;0
0;0;0;0;0;0;24;0;2;0;1;0
3;131;5;2;0;0;4;1;0;1;0;0
11;55;32;29;1;2;2;8;1;1;0;0
10;285;51;28;0;0;1;9;1;1;0;0
34;221;4;50;0;1;5;31;2;1;0;1
32;186;21;58;0;0;1;16;1;1;0;0
3;81;0;17;0;2;2;7;1;0;1;0
20;105;15;42;0;2;10;6;1;1;0;0
6;273;6;5;0;1;1;4;3;0;1;0
0;1;21;0;0;0;0;0;0;1;0;0
5;80;0;58;0;0;1;3;3;0;1;0
41;465;83;96;3;7;4;62;1;1;0;0
0;2;0;5;1;0;8;7;3;0;1;0
2;1;1;5;0;0;1;2;1;1;0;1
15;1;0;31;3;4;4;32;1;0;1;0
2;1;0;0;0;0;1;1;0;1;0;0
10;268;118;17;2;1;4;17;1;1;0;0
