Feature1;Feature2;Feature3;Feature4;Feature5;Feature6;Feature7;Feature8;Feature9;Feature10;Feature11;Pensioner
2;1;0;5;1;0;1;5;0;1;0;0
0;0;0;0;1;0;0;1;1;0;0;0
5;60;1;9;0;0;0;2;0;1;0;0
0;2;0;0;0;0;2;4;0;1;0;0
29;213;3;48;1;4;1;21;1;1;0;0
0;3;0;0;0;0;1;1;0;1;0;0
7;4;4;35;0;1;2;2;2;1;0;0
9;82;35;21;0;0;1;5;1;1;0;0
1;0;0;0;1;0;0;0;0;0;1;0
47;1106;41;227;0;2;3;14;2;1;0;0
20;107;172;40;0;2;3;11;1;1;0;0
3;70;11;4;0;0;2;1;1;1;0;0
4;87;2;3;0;0;6;4;1;1;0;0
82;440;25;267;3;4;4;82;2;1;0;0
3;148;1;25;0;4;2;10;1;0;0;0
0;1;0;0;5;16;1;0;8;0;1;0
1;10;0;2;0;0;0;3;0;1;0;1
20;430;5;62;0;1;4;64;1;1;0;0
1;9;0;0;0;0;1;0;1;1;0;0
1;8;0;2;0;0;1;4;0;1;0;1
10;54;8;13;0;0;1;6;1;1;0;0
15;165;3;15;0;6;7;7;4;1;0;0
35;788;121;74;3;5;4;55;1;1;0;1
37;110;0;60;0;1;5;4;2;1;0;0
2;1;0;1;0;0;1;0;0;1;0;0
12;192;2;30;0;1;1;1;1;0;1;0
22;106;39;47;3;3;3;31;3;1;0;1
27;1099;1;53;1;1;3;19;1;1;0;0
18;153;8;29;0;1;5;12;4;1;0;0
1;1;0;1;0;0;0;1;0;1;0;0
18;94;12;39;0;0;4;12;1;1;0;0
11;159;12;34;0;1;2;1;2;0;0;0
0;0;18;1;0;0;0;0;0;1;0;1
0;5;0;2;0;0;2;0;0;0;1;0
10;50;6;10;0;0;1;2;2;1;0;0
0;22;0;0;0;0;0;0;2;0;1;1
0;30;0;0;0;0;1;0;0;1;0;0
1;6;394;0;0;0;0;0;1;1;0;1
19;102;102;41;1;1;1;20;2;1;0;0
0;11;5;6;0;0;2;1;1;1;0;0
1;10;0;4;0;0;1;1;0;1;0;0
41;129;12;40;0;0;2;18;1;1;0;0
58;605;19;76;3;0;1;40;1;1;0;0
9;41;5;17;3;6;3;12;1;0;1;0
21;549;2;33;5;6;82;23;1;0;1;0
0;0;0;0;0;0;0;1;0;0;1;0
1;125;0;1;1;1;1;18;1;1;0;1
3;57;3;8;4;3;2;5;1;0;1;0
7;173;0;22;1;2;1;15;1;1;0;0
6;54;3;9;0;0;1;1;1;0;1;0
20;14;0;17;1;2;6;8;2;0;1;0
13;510;0;15;0;1;1;6;0;0;1;1
10;32;23;9;0;0;3;6;1;1;0;0
0;1;0;4;0;0;1;5;1;0;0;0
1;2;229;1;0;0;1;1;1;1;0;0
7;11;0;12;1;1;5;3;1;1;0;1
